-259.8615917	-81.78137652
-249.4809689	-88.25910931
-240.4844291	-94.73684211
-230.1038062	-97.9757085
-220.4152249	-101.2145749
-210.0346021	-104.4534413
-200.3460208	-109.3117409
-189.9653979	-115.7894737
-179.5847751	-119.0283401
-169.8961938	-125.5060729
-159.5155709	-130.3643725
-150.5190311	-136.8421053
-140.8304498	-144.9392713
-129.7577855	-151.417004
-120.0692042	-165.9919028
-109.6885813	-183.805668
-100	-201.6194332
-90.31141869	-224.291498
-79.93079585	-248.582996
-70.24221453	-276.1133603
-59.16955017	-319.8380567
-49.48096886	-374.8987854
-39.79238754	-420.242915
-30.79584775	-465.5870445
-21.10726644	-510.9311741
-13.49480969	-519.0283401
-2.422145329	-507.6923077
10.7266436	-441.2955466
20.41522491	-342.5101215
19.72318339	-224.291498
40.48442907	-146.5587045
51.55709343	-89.87854251
61.93771626	-34.81781377
69.55017301	-8.906882591
80.62283737	17.00404858
91.00346021	41.29554656
101.384083	55.87044534
120.0692042	72.06477733
131.83391	75.30364372
140.8304498	80.16194332
151.9031142	83.40080972
160.899654	81.78137652
171.2802768	81.78137652
181.6608997	80.16194332
190.6574394	75.30364372
201.0380623	67.20647773
211.4186851	65.58704453
220.4152249	62.34817814
232.1799308	59.10931174
241.1764706	57.48987854
251.5570934	54.25101215
261.2456747	54.25101215
