     .00     -9.5813
   10.00     -9.7452
   20.00     -9.9147
   30.00    -10.0902
   40.00    -10.2718
   50.00    -10.4601
   60.00    -10.6552
   70.00    -10.8576
   80.00    -11.0677
   90.00    -11.2860
  100.00    -11.5129
  110.00    -11.7490
  120.00    -11.9947
  130.00    -12.2508
  140.00    -12.5178
  150.00    -12.7964
  160.00    -13.0874
  170.00    -13.3917
  180.00    -13.7102
  190.00    -14.0438
  200.00    -14.3936
  210.00    -14.7609
  220.00    -15.1469
  230.00    -15.5531
  240.00    -15.9810
  250.00    -16.4324
  260.00    -16.9093
  270.00    -17.4139
  280.00    -17.9484
  290.00    -18.5157
  300.00    -19.1188
  310.00    -19.7610
  320.00    -20.4461
  330.00    -21.1785
  340.00    -21.9631
  350.00    -22.8055
  360.00    -23.7121
  370.00    -24.6902
  380.00    -25.7484
  390.00    -26.8965
  400.00    -28.1460
  410.00    -29.5103
  420.00    -31.0054
  430.00    -32.6500
  440.00    -34.4667
  450.00    -36.4825
  460.00    -38.7303
  470.00    -41.2502
  480.00    -44.0917
  490.00    -47.3167
  500.00    -51.0031
  510.00    -55.2504
  520.00    -60.1875
  530.00    -65.9842
  540.00    -72.8676
  550.00    -81.1488
  560.00    -91.2639
  570.00   -103.8432
  580.00   -119.8309
  590.00   -140.7028
  600.00   -168.8705
  610.00   -208.2832
  620.00   -262.7197
  630.00   -301.3009
  640.00   -248.7478
  650.00   -181.0966
  660.00   -129.8965
  670.00    -91.8669
  680.00    -63.3239
  690.00    -41.8707
  700.00    -25.8366
  710.00    -13.9528
  720.00     -5.2196
  730.00      1.1495
  740.00      5.7622
  750.00      9.0786
  760.00     11.4418
  770.00     13.1046
  780.00     14.2524
  790.00     15.0207
  800.00     15.5090
  810.00     15.7903
  820.00     15.9183
  830.00     15.9331
  840.00     15.8642
  850.00     15.7341
  860.00     15.5593
  870.00     15.3524
  880.00     15.1231
  890.00     14.8785
  900.00     14.6242
  910.00     14.3643
  920.00     14.1020
  930.00     13.8398
  940.00     13.5793
  950.00     13.3220
  960.00     13.0689
  970.00     12.8207
  980.00     12.5778
  990.00     12.3407
 1000.00     12.1096
