-20.30955585	-2.525252525
-19.7039031	-5.353535354
-18.55989233	-7.373737374
-17.75235532	-8.98989899
-15.39703903	-16.66666667
-16.47375505	-13.43434343
-14.52220727	-19.49494949
-13.6473755	-23.13131313
-12.77254374	-25.55555556
-11.89771198	-29.19191919
-11.02288022	-35.25252525
-9.878869448	-40.1010101
-8.869448183	-46.16161616
-8.061911171	-51.81818182
-7.456258412	-55.85858586
-6.6487214	-61.91919192
-6.110363392	-67.57575758
-5.370121131	-74.84848485
-4.764468371	-81.71717172
-4.02422611	-87.77777778
-3.553162853	-95.45454545
-2.745625841	-102.7272727
-2.139973082	-111.2121212
-1.601615074	-119.6969697
-0.861372813	-124.5454545
-0.053835801	-127.7777778
0.820995962	-124.5454545
1.493943472	-120.1010101
2.772543742	-107.5757576
3.580080754	-95.05050505
4.320323015	-87.37373737
4.993270525	-80.1010101
6.00269179	-70.80808081
6.944818304	-63.93939394
8.156123822	-55.05050505
9.78	-45.53
13.20323015	-30.80808081
14.41453567	-27.57575758
15.89502019	-23.93939394
17.44279946	-20.70707071
19.79811575	-19.49494949
