-140.797546	18.04788214
-136.809816	20.81031308
-131.595092	24.49355433
-126.0736196	29.09760589
-119.9386503	34.62246777
-113.803681	40.14732965
-109.202454	43.8305709
-102.7607362	49.35543278
-97.2392638	52.11786372
-92.94478528	52.11786372
-86.80981595	54.88029466
-80.67484663	54.88029466
-75.76687117	52.11786372
-67.48466258	49.35543278
-60.42944785	45.67219153
-53.37423313	38.30570902
-46.62576687	30.01841621
-42.02453988	23.57274401
-38.03680982	17.12707182
-34.66257669	10.68139963
-31.90184049	2.394106814
-28.83435583	-3.130755064
-24.84662577	-15.10128913
-21.16564417	-28.91344383
-15.33742331	-55.61694291
-10.12269939	-84.16206262
-8.895705521	-96.13259669
-5.521472393	-119.1528545
-0.920245399	-159.6685083
3.067484663	-193.7384899
6.441717791	-224.1252302
10.12269939	-270.1657459
12.57668712	-304.2357274
17.17791411	-338.305709
19.32515337	-353.038674
23.00613497	-355.801105
26.3803681	-353.9594843
26.3803681	-344.7513812
31.90184049	-311.6022099
36.50306748	-278.4530387
42.02453988	-240.6998158
46.93251534	-210.3130755
53.6809816	-182.6887661
59.50920245	-166.1141805
64.41717791	-152.3020258
71.47239264	-135.7274401
78.2208589	-122.8360958
84.35582822	-110.8655617
90.79754601	-105.3406998
99.69325153	-97.97421731
