     .00    150.0277
   10.00    150.2448
   20.00    150.5102
   30.00    150.8234
   40.00    151.1838
   50.00    151.5904
   60.00    152.0421
   70.00    152.5370
   80.00    153.0731
   90.00    153.6475
  100.00    154.2566
  110.00    154.8961
  120.00    155.5607
  130.00    156.2437
  140.00    156.9371
  150.00    157.6309
  160.00    158.3134
  170.00    158.9701
  180.00    159.5837
  190.00    160.1332
  200.00    160.5932
  210.00    160.9332
  220.00    161.1166
  230.00    161.0989
  240.00    160.8268
  250.00    160.2358
  260.00    159.2483
  270.00    157.7709
  280.00    155.6906
  290.00    152.8717
  300.00    149.1511
  310.00    144.3325
  320.00    138.1812
  330.00    130.4170
  340.00    120.7075
  350.00    108.6605
  360.00     93.8179
  370.00     75.6499
  380.00     53.5537
  390.00     26.8548
  400.00     -5.1835
  410.00    -43.3428
  420.00    -88.4211
  430.00   -141.1923
  440.00   -202.3514
  450.00   -272.4437
  460.00   -351.7689
  470.00   -440.2483
  480.00   -537.2235
  490.00   -641.1438
  500.00   -749.0996
  510.00   -856.2275
  520.00   -955.2499
  530.00  -1036.8640
  540.00  -1091.9160
  550.00  -1115.1410
  560.00  -1107.8520
  570.00  -1076.9170
  580.00  -1031.1160
  590.00   -978.0469
  600.00   -922.9978
  610.00   -869.1393
  620.00   -818.1436
  630.00   -770.7507
  640.00   -727.1652
  650.00   -687.3044
  660.00   -650.9442
  670.00   -617.8010
  680.00   -587.5761
  690.00   -559.9797
  700.00   -534.7415
  710.00   -511.6152
  720.00   -490.3796
  730.00   -470.8379
  740.00   -452.8151
  750.00   -436.1568
  760.00   -420.7261
  770.00   -406.4023
  780.00   -393.0785
  790.00   -380.6597
  800.00   -369.0618
  810.00   -358.2102
  820.00   -348.0381
  830.00   -338.4861
  840.00   -329.5008
  850.00   -321.0346
  860.00   -313.0447
  870.00   -305.4924
  880.00   -298.3428
  890.00   -291.5647
  900.00   -285.1293
  910.00   -279.0110
  920.00   -273.1861
  930.00   -267.6332
  940.00   -262.3328
  950.00   -257.2671
  960.00   -252.4197
  970.00   -247.7755
  980.00   -243.3208
  990.00   -239.0431
 1000.00   -234.9305
